hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
The Godfrey Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d8316858-Reviews-The_Godfrey_Hotel_Boston-Boston_Massachusetts.html,boston,4412 ,4.5,2018/10/09,2018/10/10,$729,Hotels.com,6,"Free Wifi,Room Service,Hotel website"
Omni Parker House,http://www.tripadvisor.com/Hotel_Review-g60745-d89599-Reviews-Omni_Parker_House-Boston_Massachusetts.html,boston,8825 ,4,2018/10/09,2018/10/10,$849,Agoda.com,6,"Restaurant,Room Service,Hotel website"
The Godfrey Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d8316858-Reviews-The_Godfrey_Hotel_Boston-Boston_Massachusetts.html,boston,4412 ,4.5,2018/10/09,2018/10/10,$729,Hotels.com,6,"Free Wifi,Room Service,Hotel website"
Hyatt Regency Boston Harbor,http://www.tripadvisor.com/Hotel_Review-g60745-d89620-Reviews-Hyatt_Regency_Boston_Harbor-Boston_Massachusetts.html,boston,2912 ,4,2018/10/09,2018/10/10,$539,Hyatt.com,5,"Free Wifi,Restaurant"
Taj Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d89615-Reviews-Taj_Boston-Boston_Massachusetts.html,boston,3153 ,4,2018/10/09,2018/10/10,$773,Hotels.com,0,"Free Wifi,Restaurant,Hotel website"
Lenox Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html,boston,3619 ,4.5,2018/10/09,2018/10/10,$625,Agoda.com,5,"Free Wifi,Restaurant"
The Godfrey Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d8316858-Reviews-The_Godfrey_Hotel_Boston-Boston_Massachusetts.html,boston,4412 ,4.5,2018/10/09,2018/10/10,$729,Hotels.com,6,"Free Wifi,Room Service,Hotel website"
Courtyard Boston Downtown/North Station,http://www.tripadvisor.com/Hotel_Review-g60745-d13403186-Reviews-Courtyard_Boston_Downtown_North_Station-Boston_Massachusetts.html,boston,139 ,5,2018/10/09,2018/10/10,$819,TripAdvisor,0,"Free Wifi,Restaurant,Hotel website"
Bricco Suites,http://www.tripadvisor.com/Hotel_Review-g60745-d3952875-Reviews-Bricco_Suites-Boston_Massachusetts.html,boston,245 ,4,2018/10/09,2018/10/10,$490,Agoda.com,0,"Free Wifi,Restaurant"
Charlesmark Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d225873-Reviews-Charlesmark_Hotel-Boston_Massachusetts.html,boston,997 ,4,2018/10/09,2018/10/10,$399,Booking.com,0,"Free Wifi,Breakfast included"
Boston Park Plaza,http://www.tripadvisor.com/Hotel_Review-g60745-d111418-Reviews-Boston_Park_Plaza-Boston_Massachusetts.html,boston,3132 ,4,2018/10/09,2018/10/10,$569,HotelQuickly,6,"Restaurant,Room Service,Hotel website"
Sheraton Boston Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d89602-Reviews-Sheraton_Boston_Hotel-Boston_Massachusetts.html,boston,2855 ,4,2018/10/09,2018/10/10,$669,Sheraton.com,5,"Pool,Restaurant,Hotel website"
The Midtown Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d94350-Reviews-The_Midtown_Hotel-Boston_Massachusetts.html,boston,4111 ,3.5,2018/10/09,2018/10/10,$359,Hotels.com,5,"Free Wifi,Pool"
